_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
436,West Park Healthcare Centre - 2C - Pod 2,170 Emmett Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-21,2025-02-05,N
437,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-21,2025-02-11,N
438,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Influenza A (H1N1),,2025-01-21,2025-01-29,N
439,The Hospital for Sick Children - 8C,555 University Ave,Hospital-Acute Care,Enteric,Unable to identify,,2025-01-21,2025-01-25,N
440,Unity Health Toronto - Houses of Providence - 3W Walnut & Poplar,3276 St. Clair Ave E,LTCH,Respiratory,Respiratory syncytial virus,Influenza A (Not subtyped),2025-01-20,2025-01-29,N
441,Sinai Health - Hennick Bridgepoint Hospital - 9 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-01-20,2025-01-25,N
442,Fieldstone Commons Care Community - 2A,1000 Ellesmere Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-20,2025-01-28,N
443,William Osler Health System - Etobicoke General Hospital - 9E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-01-20,2025-01-26,N
444,"Fountain View Care Community - 1A, 2A & 2B",1800 O'Connor Dr,LTCH,Enteric,Norovirus,,2025-01-20,2025-02-05,N
445,Weston Gardens TCU - 2nd Fl,303 Queens Dr,Retirement Home,Respiratory,COVID-19,,2025-01-20,2025-01-28,N
446,Baycrest Apotex Centre - Jewish Home for the Aged - 4RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2025-01-20,2025-01-28,N
447,Kensington Gardens - North Building - 3 West,45 Brunswick Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-20,2025-01-31,N
448,TEHN - Atrium at Kew Beach - 3rd Fl,500 Kingston Rd,Hospital-Chronic Care,Enteric,Unable to identify,,2025-01-20,2025-01-23,N
449,Cedarbrook Lodge - 5N,520 Markham Rd,Retirement Home,Respiratory,COVID-19,,2025-01-20,2025-01-25,N
450,Chartwell Gibson Long Term Care Residence - 2nd Fl,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2025-01-19,2025-02-06,N
451,Hawthorne Place Care Centre - 1st Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,,2025-01-19,2025-02-07,N
452,Norfinch Care Community - 2A,22 Norfinch Dr,LTCH,Respiratory,COVID-19,,2025-01-19,2025-01-29,N
453,Amica on the Avenue - 4th Fl,1066 Avenue Rd,Retirement Home,Respiratory,Unable to identify,,2025-01-18,2025-01-31,N
454,Copernicus Lodge - 3 South,66 Roncesvalles Ave,LTCH,Enteric,Norovirus,,2025-01-18,2025-01-26,N
455,"Amica Bayview Gardens - 4th, 7th & 10th Fl",19 Rean Dr,Retirement Home,Enteric,Unable to identify,,2025-01-17,2025-01-28,N
456,Kensington Gardens South Building - 4E & 4W,25 Brunswick Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-17,2025-02-10,N
457,Baycrest Hospital - H5E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-17,2025-02-08,N
458,L'Chaim Retirement Homes,718 Sheppard Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-01-17,2025-01-25,N
459,UHN - Toronto General Hospital - 8ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),"Influenza A ((H1N1)pdm09), Influenza A (H3)",2025-01-16,2025-01-22,N
460,Harold and Grace Baker Centre - 3rd & 6th Fl,1 Northwestern Ave,Retirement Home,Respiratory,Respiratory syncytial virus,,2025-01-16,2025-01-31,N
461,Lakeside Long Term Care Centre - 1st & 4th Fl,150 Dunn Ave,LTCH,Enteric,Unable to identify,,2025-01-16,2025-01-31,N
462,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Enteric,Norovirus,,2025-01-16,2025-01-24,N
463,Baycrest Apotex Centre - Jewish Home for the Aged - 5RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2025-01-16,2025-01-23,N
464,Wesburn Manor,400 The West Mall,LTCH,Respiratory,COVID-19,,2025-01-16,2025-02-13,N
465,Nisbet Lodge - 9th Fl,740 Pape Ave,LTCH,Respiratory,Coronavirus*,,2025-01-16,2025-01-20,N
466,Sinai Health - Hennick Bridgepoint - 2N,1 Bridgepoint Dr,Hospital-Chronic Care,Enteric,Norovirus,,2025-01-15,2025-01-26,N
467,Amica on the Avenue - 2nd & 6th Fl,1066 Avenue Rd,Retirement Home,Respiratory,COVID-19,,2025-01-15,2025-01-28,N
468,Casey House - 3rd Fl Inpatient Unit,119 Isabella St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-01-15,2025-01-26,N
469,Mindland Gardens Care Community - 2nd Fl,130 Midland Ave,LTCH,Respiratory,Influenza A (H1N1),,2025-01-15,2025-01-24,N
470,Lakeside - 1st & 4th Fl,150 Dunn Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-15,2025-02-03,N
471,West Park Long Term Care - Weston & Mulholland,150 Emmett Ave,LTCH,Respiratory,COVID-19,,2025-01-15,2025-02-08,N
472,Retirement Suites by the Lake - 1st & 3rd Fl,2121 Kingston Rd,LTCH,Respiratory,COVID-19,,2025-01-15,2025-02-03,N
473,Maynard Nursing Home - 1st & 2nd Fl,28 Halton St,LTCH,Enteric,Norovirus,,2025-01-15,2025-02-02,N
474,McCowan Retirement Residence - 6th Fl,2881 Eglinton Ave E,Retirement Home,Respiratory,Respiratory syncytial virus,,2025-01-15,2025-01-31,N
475,Forestview Retirement Residence,537 Finch Ave W,Retirement Home,Respiratory,COVID-19,,2025-01-15,2025-02-12,N
476,Westside Long Term Care Centre - 2nd Fl,1145 Albion Rd,LTCH,Respiratory,Respiratory syncytial virus,,2025-01-14,2025-01-22,N
477,The Annex,123 Spadina Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-01-14,2025-01-28,N
478,UHN - Toronto Rehabiliitation Institute - Bickle Centre - North 3,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-14,2025-01-26,N
479,Chartwell Grenadier Retirement Residence,2100 Bloor St W,Retirement Home,Enteric,Norovirus,,2025-01-14,2025-02-16,N
480,Scarborough Health Network - General Hospital - Tower 7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-14,2025-01-23,N
481,Scarborough Health Network - General Hospital - Tower 7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2025-01-14,2025-01-31,N
482,Baycrest Apotex Centre - Jewish Home for the Aged - 5RF,3560 Bathurst St,LTCH,Respiratory,Unable to identify,,2025-01-14,2025-01-23,N
483,Extendicare Bayview - 1st Fl East Unit,550 Cummer Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-14,2025-01-27,N
484,Yee Hong Centre - Scarborough Finch - 4 North & 4 South,60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2025-01-14,2025-02-03,N
485,The Briton House,720 Mount Pleasant Rd,Retirement Home,Enteric,Unable to identify,,2025-01-14,2025-01-24,N
486,"Nisbet Lodge - 6th, 9th & 11th Fl",740 Pape Ave,LTCH,Enteric,Unable to identify,,2025-01-14,2025-02-03,N
487,Better Living at Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Influenza A (H1N1),,2025-01-13,2025-01-21,N
488,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Metapneumovirus,,2025-01-13,2025-02-03,N
489,UHN - Toronto Rehabilitation Institute - Bickle Centre - South 4,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-13,2025-01-28,N
490,UHN - Toronto General Hospital - 13 ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-01-13,2025-01-23,N
491,Hellenic Care for Seniors - 1st Fl,215 Tyrrel Ave,LTCH,Enteric,Norovirus,,2025-01-13,2025-01-18,N
492,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St.Clair Ave E,LTCH,Enteric,Unable to identify,,2025-01-13,2025-01-24,N
493,"Bendale Acres - 2 East, 4th & 6th Fl",2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (H1N1),,2025-01-13,2025-01-30,N
494,Unity Health Toronto - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-13,2025-01-27,N
495,Unity Health Toronto - St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-13,2025-02-07,N
496,AgeCare Trilogy - 4th Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,,2025-01-13,2025-01-27,N
497,Parkland on Eglinton West - 4th Fl - Memory Care Unit,4650 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,,2025-01-13,2025-01-31,N
498,Runnymede Healthcare Centre - 3W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-13,2025-01-27,N
499,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,Coronavirus*,,2025-01-13,2025-02-02,N
500,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-12,2025-01-29,N
501,RCC - Church Site - St. Joseph's Health Centre - 4B,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-12,2025-01-22,N
502,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2025-01-12,2025-01-17,N
503,Castleview Wychwood Towers - 5th & 7th Fl,351 Christie St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-12,2025-01-26,N
504,Tendercare Living Centre - 3 West,1020 McNicoll Ave,LTCH,Respiratory,COVID-19,,2025-01-11,2025-01-20,N
505,Cummer Lodge - 4th Fl South,205 Cummer Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2025-01-11,2025-01-21,N
506,Baycrest Hospital - H4E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-11,2025-01-23,N
507,Tyndall - McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,LTCH,Respiratory,COVID-19,,2025-01-10,2025-01-27,N
508,Villa Colombo Homes for the Aged - 5 Fusco South,40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,,2025-01-10,2025-01-15,N
509,Aspira Kensington Place Retirement Living - 5th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,Influenza A (H1N1),,2025-01-10,2025-01-20,N
510,West Park Long Term Care Centre - Glenwyld & Raymond,150 Emmett Ave,LTCH,Respiratory,COVID-19,,2025-01-09,2025-01-21,N
511,Isabel and Arthur Meighan Manor - 3rd Fl - Lawrence Unit,155 Millwood Rd,LTCH,Respiratory,Influenza A (H1N1),,2025-01-09,2025-01-15,N
512,Fountain View Care Community - 3B,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,,2025-01-09,2025-01-20,N
513,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,,2025-01-09,2025-01-17,N
514,Kipling Acres - 3 North (Smithfield),2233 Kipling Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-09,2025-01-21,N
515,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Influenza A (H1N1),,2025-01-09,2025-01-27,N
516,Bethseda Home,4 Partridge Lane,Retirement Home,Respiratory,COVID-19,,2025-01-09,2025-01-17,N
517,Belmont House,55 Belmont St,Retirement Home,Enteric,Unable to identify,,2025-01-09,2025-02-01,N
518,Midland Gardens Care Community - 3rd Fl,130 Midland Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-08,2025-01-15,N
519,RCC - Church Site - Sunnybrook Health Sciences Centre - A3S,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-08,2025-01-17,N
520,UHN - Toronto General Hospital - 7MB,200 Elizabeth St,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-08,2025-01-17,N
521,Unity Health Toronto - Houses of Providence - HOP 2W - Pine & Elm,3276 St. Clair Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-08,2025-01-18,N
522,Baycrest Apotex Centre - Jewish Home for the Aged - 5EI,3560 Bathurst St,LTCH,Enteric,Unable to identify,,2025-01-08,2025-01-23,N
523,Baycrest Apotex Centre - Jewish Home for the Aged - 5GS,3560 Bathurst St,LTCH,Enteric,Unable to identify,,2025-01-08,2025-01-14,N
524,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Respiratory,COVID-19,,2025-01-08,2025-01-20,N
525,Nisbet Lodge - 4th & 5th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,,2025-01-08,2025-01-21,N
526,Ivan Franko Home - 3 West,767 Royal York Rd,LTCH,Respiratory,Influenza A (H1N1),,2025-01-08,2025-01-16,N
527,TEHN - Michael Garron Hospital - G5,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,,2025-01-08,2025-01-12,N
528,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-07,2025-01-17,N
529,The Kensignton Gardens - South Building - 2 West,25 Brunswick Avenue,LTCH,Respiratory,Respiratory syncytial virus,,2025-01-07,2025-01-24,N
530,Tony Stacey Centre for Veterans Care,5935 Lawson Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-07,2025-01-25,N
531,Copernicus Lodge - 4 South,66 Roncesvalles Ave,LTCH,Enteric,Unable to identify,,2025-01-07,2025-01-13,N
532,TEHN - Michael Garron Hospital - J5,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-07,2025-01-16,N
533,TEHN - Michael Garron Hospital - J5,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,,2025-01-07,2025-01-16,N
534,Leaside,10 William Morgan Dr,Retirement Home,Enteric,Unable to identify,,2025-01-06,2025-01-26,N
535,True Davidson Acres - 3rd Fl,200 Dawes Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2025-01-06,2025-01-16,N
536,Chartwell Grenadier Retirement Residence - 2nd & 4th Fl - A Building,2100 Bloor St W,Retirement Home,Respiratory,COVID-19,,2025-01-06,2025-01-25,N
537,Kipling Acres - 1 South (Humber Unit),2233 Kipling Ave,LTCH,Respiratory,COVID-19,,2025-01-06,2025-01-15,N
538,Unity Health Toronto - St Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-01-06,2025-01-11,N
539,Downsview Long Term Care Centre - 2 Centre,3595 Keele St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-06,2025-01-16,N
540,The Hospital for Sick Children - 5B,555 University Ave,Hospital-Acute Care,Enteric,Norovirus,,2025-01-06,2025-01-13,N
541,Toronto Grace Salvation Army - CCC4,650 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-06,2025-01-14,N
542,Mindland Gardens Care Community - 6th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,,2025-01-05,2025-02-04,N
543,Belmont House - 2WW,55 Belmont St,LTCH,Enteric,Unable to identify,,2025-01-05,2025-01-16,N
544,Sinai Health System - Mount Sinai Hospital - 14 South,600 University Ave,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-05,2025-01-13,N
545,Better Living at Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Parainfluenza,,2025-01-04,2025-01-24,N
546,Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,COVID-19,,2025-01-04,2025-01-21,N
547,The Heritage Nursing Home - 1st Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,,2025-01-03,2025-01-24,N
548,RCC - Church Site - Trillium Health Partners - 2C,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-03,2025-01-20,N
549,Kensington Gardens - South Building,25 Brunswick Ave,LTCH,Respiratory,COVID-19,,2025-01-03,2025-01-29,N
550,SHSC - St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-03,2025-01-13,N
551,Unity Health Toronto - St. Joseph's Health Centre - 2M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-03,2025-01-11,N
552,"Villa Colombo Homes for the Aged - 5 Fusco - North, West & South",40 Playfair Ave,LTCH,Respiratory,Unable to identify,,2025-01-03,2025-01-17,N
553,Amica Bayview Village - 2nd & 4th Fl,15 Barberry Pl,Retirement Home,Respiratory,COVID-19,,2025-01-02,2025-01-13,N
554,The Rekai Centres at Wellesley Street - 4 East,160 Wellesley St E,LTCH,Respiratory,Influenza A (H1),,2025-01-02,2025-01-13,N
555,"NYGH - Seniors' Health Centre - 1st, 2nd & 3rd Fl",2 Buchan Crt,LTCH,Enteric,Norovirus,,2025-01-02,2025-01-28,N
556,SHSC - St. John's Rehabilitation Hospital - A2,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2025-01-02,2025-01-09,N
557,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-01-02,2025-01-14,N
558,Rekai Centres - Sherbourne Place - 2nd & 3rd Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,,2025-01-02,2025-01-21,N
559,UHN - Toronto Western Hospital - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-01-02,2025-01-12,N
560,"Fudger House - 1W, 2W & 3W",439 Sherbourne St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-01-02,2025-01-19,N
561,UHN - Princess Margaret Hospital - 15C,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza type 3,,2025-01-02,2025-01-10,N
562,TEHN - Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,,2025-01-02,2025-01-11,N
563,Wesburn Manor - 2 South,400 The West Mall,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2025-01-01,2025-01-13,N
564,Runnymede Healthcare Centre - 3W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-01-01,2025-01-06,N
565,Runnymede Healthcare Centre - 4W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-01-01,2025-01-06,N
